"applicant_id","source","expected_lean","reference_notes","counterfactual_pair_id","counterfactual_attribute"
"A035","synthetic_expansion","","Age counterfactual pair crossing Under 30 to Age 30-50; financial fields held constant and years employed remains plausible. Coverage: CF_A3 adjacent age boundary profile; substantial existing debt; higher salary with high expenses.","CF_A3","age"
"A036","synthetic_expansion","","Age counterfactual pair crossing Under 30 to Age 30-50; financial fields held constant and years employed remains plausible. Coverage: CF_A3 adjacent age boundary profile; substantial existing debt; higher salary with high expenses.","CF_A3","age"
"A037","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: short-tenure low-income full-time profile; small requested amount; one previous default.","",""
"A038","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: short-tenure full-time profile; zero existing debt; vehicle purpose.","",""
"A039","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed profile; high expenses relative to income; meaningful requested amount.","",""
"A040","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: stable full-time Oil & Gas profile; zero existing debt; larger home purchase request.","",""
"A041","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: fractional short-tenure profile; zero existing debt; education purpose.","",""
"A042","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: meaningful existing debt profile; multiple previous defaults; debt consolidation purpose.","",""
"A043","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed profile; small business purpose; moderate income and debt.","",""
"A044","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure government profile; high expenses and existing debt; home renovation purpose.","",""
"A045","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure profile; zero existing debt; medical expenses purpose.","",""
"A046","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed with prior defaults; meaningful existing debt; investment property purpose.","",""
"A047","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure private-sector profile; smaller requested amount; family expenses purpose.","",""
"A048","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: zero-income unemployed stress case; multiple previous defaults; medical expenses purpose.","",""
"A049","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: short-tenure profile; meaningful existing debt; vehicle purpose.","",""
"A050","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed profile; zero existing debt; small business purpose.","",""
"A051","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure Oil & Gas profile; larger requested amount; meaningful existing debt.","",""
"A052","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: zero-income unemployed stress case; multiple previous defaults; small requested amount.","",""
"A053","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed with prior default; high expenses relative to income; investment property purpose.","",""
"A054","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: government employer-type coverage; zero existing debt; education purpose.","",""
"A055","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: younger full-time profile; zero existing debt; education purpose.","",""
"A056","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: government profile; meaningful existing debt; debt consolidation purpose.","",""
"A057","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: self-employed profile; large requested amount; high expenses relative to income.","",""
"A058","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: Oil & Gas profile; substantial existing debt; large requested amount.","",""
"A059","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure government profile; zero existing debt; vehicle purpose.","",""
"A060","synthetic_expansion","","Synthetic expansion profile with deliberate coverage purpose; no Expected Lean assigned. Coverage: long-tenure private-sector profile; multiple previous defaults; family expenses purpose.","",""
